"Time","Temperature"
2025-05-13 13:00:00,20.6 °C
2025-05-13 19:00:00,20.2 °C
2025-05-14 01:00:00,19.7 °C
2025-05-14 07:00:00,20.1 °C
2025-05-14 13:00:00,20.9 °C
2025-05-14 19:00:00,20.4 °C
2025-05-15 01:00:00,19.9 °C
2025-05-15 07:00:00,20.5 °C
2025-05-15 13:00:00,20.9 °C
2025-05-15 19:00:00,20.1 °C
2025-05-16 01:00:00,19.6 °C
2025-05-16 07:00:00,19.9 °C
2025-05-16 13:00:00,20.6 °C
2025-05-16 19:00:00,20.2 °C
2025-05-17 01:00:00,19.8 °C
2025-05-17 07:00:00,20.1 °C
2025-05-17 13:00:00,20.4 °C
2025-05-17 19:00:00,20.3 °C
2025-05-18 01:00:00,19.8 °C
2025-05-18 07:00:00,20.2 °C
2025-05-18 13:00:00,20.6 °C
2025-05-18 19:00:00,20.4 °C
2025-05-19 01:00:00,19.9 °C
2025-05-19 07:00:00,20.2 °C
2025-05-19 13:00:00,20.4 °C
2025-05-19 19:00:00,20.3 °C
2025-05-20 01:00:00,19.9 °C
2025-05-20 07:00:00,5.82 °C
2025-05-20 13:00:00,18.6 °C
2025-05-20 19:00:00,20.1 °C
2025-05-21 01:00:00,19.8 °C
2025-05-21 07:00:00,20.2 °C
2025-05-21 13:00:00,20.5 °C
2025-05-21 19:00:00,20.1 °C
2025-05-22 01:00:00,19.8 °C
2025-05-22 07:00:00,20.0 °C
2025-05-22 13:00:00,20.2 °C
2025-05-22 19:00:00,19.7 °C
2025-05-23 01:00:00,19.4 °C
2025-05-23 07:00:00,19.6 °C
2025-05-23 13:00:00,20.2 °C
2025-05-23 19:00:00,19.9 °C
2025-05-24 01:00:00,19.5 °C
2025-05-24 07:00:00,19.8 °C
2025-05-24 13:00:00,20.1 °C
2025-05-24 19:00:00,20.1 °C
2025-05-25 01:00:00,19.8 °C
2025-05-25 07:00:00,20.1 °C
2025-05-25 13:00:00,20.4 °C
2025-05-25 19:00:00,20.2 °C
2025-05-26 01:00:00,19.9 °C
2025-05-26 07:00:00,20.0 °C
2025-05-26 13:00:00,20.3 °C
2025-05-26 19:00:00,20.2 °C
2025-05-27 01:00:00,19.8 °C
2025-05-27 07:00:00,20.1 °C
2025-05-27 13:00:00,20.8 °C
2025-05-27 19:00:00,20.4 °C
2025-05-28 01:00:00,19.9 °C
2025-05-28 07:00:00,20.4 °C
2025-05-28 13:00:00,20.3 °C
2025-05-28 19:00:00,20.1 °C
2025-05-29 01:00:00,19.7 °C
2025-05-29 07:00:00,20.0 °C
2025-05-29 13:00:00,20.4 °C
2025-05-29 19:00:00,20.4 °C
2025-05-30 01:00:00,19.9 °C
2025-05-30 07:00:00,20.2 °C
2025-05-30 13:00:00,20.6 °C
2025-05-30 19:00:00,20.7 °C
2025-05-31 01:00:00,20.2 °C
2025-05-31 07:00:00,20.4 °C
2025-05-31 13:00:00,20.8 °C
2025-05-31 19:00:00,20.8 °C
2025-06-01 01:00:00,20.3 °C
2025-06-01 07:00:00,20.5 °C
2025-06-01 13:00:00,21.0 °C
2025-06-01 19:00:00,20.8 °C
2025-06-02 01:00:00,20.3 °C
2025-06-02 07:00:00,20.3 °C
2025-06-02 13:00:00,20.3 °C
2025-06-02 19:00:00,20.2 °C
2025-06-03 01:00:00,19.9 °C
2025-06-03 07:00:00,20.1 °C
2025-06-03 13:00:00,20.4 °C
